Name,Lifetime[5],Nationality,Notable as,Notes[6]
Hasan Namir,b. 1987,Iraqi-Canadian,Writer,G[24]
Suniti Namjoshi,b. 1941,Indian,"Poet, author, activist",L[25]
Joël Gustave Nana Ngongang,1982–2015,Cameroonian,LGBT and HIV rights activist,G[26]
Elías Nandino,1900–1993,Mexican,Poet,G[27]
Gianna Nannini,b. 1954,Italian,Singer,B[28]
Niecy Nash,b. 1970,American,Actor,B[29]
Ifti Nasim,1946–2011,Pakistani,"Poet, journalist, LGBT activist",G[30]
John Nathan-Turner,1947–2002,English,TV producer,G[31]
Michael Nava,b. 1954,American,Writer,G[32]
Samantha Navarro,b. 1971,Uruguayan,"Singer-songwriter, guitarist",L[33]
Yves Navarre,1940–1994,French,Writer,G[34]
Tony Navarrete,b. ?[5],American,Politician,G[35]
Martina Navratilova,b. 1956,Czech,Tennis player,L[36]
Lisa Naylor,b. ?,Canadian,politician,L[37]
Abdi Nazemian,b. ?[5],Iranian-American,"Author, screenwriter, film producer",G[38]
Alla Nazimova,1879–1945,Ukrainian,Actor,B[39]
Me'shell Ndegeocello,b. 1968,American,Musician,B[40]
Fabrice Neaud,b. 1968,French,Comics artist,G[41]
Ted Nebbeling,1943/44–2009,Canadian,Politician,G[42]
Gisela Necker,1932–2011,German,Lesbian activist,L.[43]
Sharon Needles (stage name),b. 1981,American,Drag performer,G[44]
Louis Negin,b. ?[5],Canadian,"Actor, playwright",G[45]
Ion Negoițescu,1921–1993,Romanian,"Literary historian, critic, poet, novelist, memoirist",G[46]
Luis Negrón,b. 1970,Puerto Rican,Writer,G[47]
Taylor Negron,1957–2015,American,"Actor, comedian, painter, playwright",G[48]
Frances Negrón-Muntaner,b. 1966,Puerto Rican,Filmmaker,L[49]
Jim Nelson,b. 1963,American,Magazine editor,G[50]
Kenneth Nelson,1930–1993,American,Actor,G[51]
Ondrej Nepela,1951–1989,Slovak,Figure skater,G[52]
Steffi Nerius,b. 1972,German,Javelin thrower,L[53]
Adi Nes,b. 1966,Israeli,Photographer,G[54]
Patrick Ness,b. 1971,British-American,"Author, journalist, lecturer, screenwriter",G[55]
Dana Nessel,b. 1969,American,"Attorney General of Michigan, first openly LGBT person elected to statewide office in Michigan.",L[56]
Donna Nesselbush,b. 1962,American,"Politician, lawyer, judge",L[57]
Joan Nestle,b. 1940,American,"Activist, writer",L[58]
John Neumeier,b. 1939,American,"Ballet dancer, choreographer",G[59]
Daniel Newman,b. 1981,American,"Actor, model, musician",B[60]
Lesléa Newman,b. 1955,American,Writer,L[61]
Robert Newton,b. 1981,English,Athlete,G[62]
Billy Newton-Davis,b. 1951,Canadian,Musician,G[63]
Benny Neyman,1951–2008,Dutch,Pop singer,G[64]
Roy Ngerng,b. 1981,Singaporean,"Activist, politician, blogger",G[65]
Sheila Nicholls,b. 1970,English,Musician,L[66]
Beverley Nichols,1898–1983,English,"Playwright, actor, novelist, composer",G[67]
Jack Nichols,1938–2005,American,"Writer, LGBT rights activist",G[68]
Anne-Marie Nicholson,b. 1991,English,Singer-songwritier,B[69]
Bruce William Nickerson,b. 1941,American,Lawyer,G[70]
Jasika Nicole,b. 1980,American,Actor,L[71]
Daniel Nicoletta,b. 1954,American,"Photographer, LGBT rights activist",G[72]
Harold Nicolson,1886–1968,English,"Diplomat, author",B[73]
Anthony Niedwiecki,b. 1967,American,"Law professor, LGBT activist, politician",G[74]
Marlene van Niekerk,b. 1964,South African,"Author, educator",L[75]
Szymon Niemiec,b. 1977,Polish,"Photographer, activist, journalist, politician",G[76]
Deke Nihilson,b. 1968,American,"Musician, anarchist",G[77]
Vaslav Nijinsky,1889–1950,Russian-Polish,"Ballet dancer, choreographer",B[78]
Alwin Nikolais,1910–1993,American,"Dancer, choreographer, composer",G[79]
Dennis Nilsen,b. 1945,Scottish,Serial killer,G[80]
Ingrid Nilsen,b. 1989,American,YouTube personality,L[81]
Anaïs Nin,1903–1977,American,Diarist,B[82]
Alberto Nin Frías,1878–1937,Uruguayan,"Writer, lecturer, diplomat",G[83]
Willi Ninja,1961–2006,American,"Dancer, choreographer",G[84]
Grizel Niven,1906–2007,English,Sculptor,L[85]
Piper Niven,b. ?,S cottish,WWE professional wrestler,B[86]
Cynthia Nixon,b. 1966,American,Actor,B[87]
Maria Nirod,1879–1965,Russian,"Countess, nurse",L[88]
Simon Nkoli,1957–1998,South African,AIDS and LGBT rights activist.,G[89]
MK Nobilette,b. 1993,American,"Singer, reality TV personality",L[90]
Elaine Noble,b. 1944,American,"Politician, activist",L[91]
John Noguez,b. 1964,American,Politician,G[92]
Noxolo Nogwaza,1987–2011,South African,"LGBT rights activist, hate crime murder victim",L[93]
Anna Nolan,b. 1970,Irish,TV presenter,L[94]
Faith Nolan,b. 1957,Canadian,"Singer, songwriter",L[95]
Richard T. Nolan,b. 1937,American,"Philosopher, Episcopal Canon, Author",L[96]
"Lou B. (""Bink"") Noll",1927–1986,American,Poet,L[97]
Klaus Nomi,1944–1983,German,Singer,G[98]
Franz Nopcsa von Felső-Szilvás,1877–1933,Hungarian,"Aristocrat, adventurer, scholar, paleontologist",G[99]
Bente Nordby,b. 1974,Norwegian,Footballer,L[100]
Siiri Nordin,b. 1980,Finnish,Musician,L[101]
Roger Nordin,b. 1977,Swedish,"Radio and TV presenter, journalist",G[102]
Pat Norman,b. 1939,American,"Activist, community organizer, founder of Lesbian Mothers Union",L[103]
Peg Norman,b. 1964,Canadian,"Filmmaker, politician",L[104]
Sarah White Norman,1623–1654,American,"Prosecuted for ""lewd behavior with [Mary Vincent Hammon] upon a bed""",L[105]
John Normington,1937–2007,English,Actor,G[106]
Bobby Cole Norris,b. 1986,English,Television personality,G[107]
Colin Norris,b. 1976,English,Serial killer,G[108]
David Norris,b. 1944,Irish,Civil rights campaigner,G[109]
Harold Norse,1916–2009,American,Writer,G[110]
Kevin and Don Norte,b. 1962,American,Politicians,G[111]
William North,1755–1836,American,Soldier and politician,B[112][113][114]
Graham Norton,b. 1963,Irish,"Talk show host, comedian, actor",G[115]
Keith Norton,b. 1941,Canadian,Politician,G[116]
Scott Norton,b. 1982,American,"Professional bowler, attorney",G[117]
Dries van Noten,b. 1958,Belgian,Fashion designer,G[118]
Bruce Notley-Smith,b. ca 1964,Australian,Politician,G[119]
Ramón Novarro,1899–1968,Mexican,Actor,G[120]
Ivor Novello,1893–1951,Welsh,"Actor, composer, musician",G[121]
Salvador Novo,1904–1974,Mexican,"Poet, playwright",G[122]
Jana Novotná,1968–2017,Czech,Tennis player,L[123]
Peter Nowalk,b. ?[5],American,"TV writer, producer",G[124]
Tegan Nox,b. 1994,Welsh,Professional wrestler,L[125]
Cyril Nri,b. 1961,Nigerian-British,Actor,G[126]
Richard Bruce Nugent,1906–1987,American,Author,G[127]
Rudolf Nureyev,1938–1993,Russian,"Ballet dancer, choreographer",G[128]
Abu Nuwas,756–814,Arab-Persian,Classical Arabic poet,G[129][130][131]
Katja Nyberg,b. 1979,Norwegian,Handball player,L[132]
Diana Nyad,b. 1949,American,Swimmer,L[133]
Laura Nyro,1947–1997,American,"Singer, songwriter",B[134]
Ron Nyswaner,b. 1956,American,"Screenwriter, film director",G[135]
Denis Nzioka,b. 1985,Kenyan,"Journalist, LGBT activist",G[136]
Rachid O.,b. 1970,Moroccan,Writer,G[137]
Ed Oakley,b. ?[5],American,Politician,G[138]
Tyler Oakley,b. 1989,American,YouTube personality,G[139]
Violet Oakley,1[874–1961,American,Artist,L[140]
Achy Obejas,b. 1956,Cuban-American,Writer,G[141]
Diane Obomsawin,b. 1959,Canadian,"Author, illustrator, animated filmmaker",L[142]
Melibea Obono,b. 1982,Equatoguinean,"Novelist, political scientist, academic, LGBTQI rights activist",B[143]
Graeme Obree,b. 1965,Scottish,Cyclist,G[144]
Charles J. O'Byrne,b. 1964,American,"Politician, ex-Priest",G[145]
Tzipora Obziler,b. 1973,Israeli,Tennis player,L[146]
Ryan O'Callaghan,b. 1983,American,Football player,G[147]
Andrea Occhipinti,b. 1957,Italian,"Actor, producer",G[148]
Frank Ocean,b. 1987,American,"Rapper, singer",B[149]
Robyn Ochs,b. 1958,American,"Activist, writer",B[150]
Ryan O'Connell,b. ?[5],American,"Writer, actor, director, comedian",G[151]
Sinéad O'Connor,b. 1966,Irish,Musician,B[152]
Robert Odeman,1904–1985,German,"Pianist, composer",G[153]
Rob Oden,b. 1950,American,"Politician; 1st black mayor of Palm Springs, California",G[154]
Daniel O'Donnell,b. 1960,American,Politician,G[155]
Rosie O'Donnell,b. 1962,American,"Comedian, talk show host, actor",L[156]
Dede Oetomo,b. 1953,Indonesian,LGBT rights activist,G[157]
Nuala O'Faolain,1940–2008,Irish,"Writer, journalist",B[158]
Elizabeth O'Farrell,1883–1957,Irish,"Republican, nurse",L[159]
Erin O'Flaherty,b. ?[5],American,1st openly lesbian contestant to compete in Miss America,L[160]
Colm O'Gorman,b. 1966,Irish,Executive Director of Amnesty International in Ireland,G[161]
Roderic O'Gorman,b. 1982,Irish,Politician,G[162]
Paul O'Grady,b. 1955,English,"Comedian, TV host",G[163]
Geoffrey Ogwaro,b. 1973,Ugandan,LGBT rights activist,G[164]
Paul O'Grady,b. 1960,Australian,Politician,G[165]
Amir Ohana,b. 1976,Israeli,"Politician, lawyer",G[166]
Armen Ohanian,1887–1976,Armenian,"Dancer, actor, writer, translator",B[167]
Enkyo Pat O'Hara,b. ?[5],American,Soto priest,L[168]
Frank O'Hara,1926–1966,American,Poet,G[169]
Robert O'Hara,b. 1970,American,"Playwright, director",G[170]
Denis O'Hare,b. 1962,American,Actor,G[171]
Elisabeth Ohlson,b. 1961,Swedish,Photographer,L[172]
Kjell Erik Øie,b. 1960,Norwegian,"Politician, LGBT rights activist",G[173]
Kele Okereke,b. 1981,British,Rock singer (Bloc Party),G[174]
Okkar Min Maung,b. 1985,Burmese,"Actor, model, singer",G[175]
Joe Okonkwo,b ?[5],American,Writer,G[176]
Christina Olague,b. 1961,American,Politician,B[177]
Ibolya Oláh,b. 1978,Hungarian,Pop singer,L[178]
Valborg Olander,1861–1943,Swedish,"Educator, politician, suffragette",L[179]
Jean O'Leary,1948–2005,American,Lesbian rights activist,L[180]
Maurice Oldfield,1915–1981,English,Intelligence officer,G[181]
Henrik Olesen,b. 1967,Danish,Artist,G[182]
Andrew Olexander,b. 1965,Australian,Politician,G[183]
David Oliver,1962–1991,American,Actor,G[184]
Mary Oliver,1935-2019,American,Poet,L[185]
Montserrat Oliver,b. 1966,Mexican,"Model, actor, TV host",L[186]
Pauline Oliveros,1932–2016,American,"Accordionist, composer",L[187]
Laurence Olivier,1907–1989,English,Actor,B[188]
Ian Ollis,b. 1970,South African,Politician,G[189]
Dana Olmert,b. 1972,Israeli,"Literary theorist, editor, professor",L[190]
Stefan Olsdal,b. 1974,Swedish,Rock musician (Placebo),G[191]
Bree Olsen,b. 1986,American,Former porn star,B[192][193][194]
Mark V. Olsen,b. 1962,American,"Screenwriter, TV producer",G[195]
Jenni Olson,b. 1962,American,"Film curator, filmmaker, author, LGBT film historian",L[196]
Willem Oltmans,1925–2004,Dutch,"Investigative journalist, author",G[197]
Rory O'Malley,b. 1980,American,Actor,G[198]
Ryan O'Meara,b. 1984,American,"Ice dancer, figure skating coach",G[199]
Ondine,1937–1989,American,Actor,G[200]
April O'Neill,b. 1987,American,Pornographic actor,B[201]
Jamie O'Neill,b. 1962,Irish,Writer,G[202]
Han Ong,b. 1968,Filipino-American,"Novelist, playwright",G[203]
Onir,b. 1969,Indian,Filmmaker,G[204]
Midi Onodera,b. ?[5],Japanese-Canadian,Filmmaker,L[205]
Aras Onur,b. 1982,Turkish,"Author, poet",G[206]
Catherine Opie,b. 1961,American,Artist,L[207]
Phyll Opoku-Gyimah,b. 1974,British,"Co-founder, trustee and executive (formerly managing) director of UK Black Pride",L[208]
George Oprescu,1881–1969,Romanian,"Historian, art critic, art collector",G[209]
Rita Ora,b. 1990,Albanian-British,"Singer, actor",B[210]
Seamus O'Regan,b. 1971,Canadian,Broadcast journalist,G[211]
Jessica Origliasso,b. 1984,Australian,"Pop singer (The Veronicas), animal rights spokeswoman",B[212]
Shinobu Orikuchi,1887–1953,Japanese,"Ethnologist, linguist, folklorist, novelist, poet",G[213]
Steve Orlando,b. 1985,American,Comic book writer,B[214]
Curdin Orlik,b. 1993,Swiss,Wrestler,G[215]
Peter Orlovsky,1933–2010,American,"Poet, actor",G[216]
Suze Orman,b. 1951,American,"Personal finance guru, talk show host, author",L[217]
Alfredo Ormando,1958–1998,Italian,"Writer, committed suicide by self-immolation outside of St. Peter's Basilica to protest the Roman Catholic Church's teachings on homosexuality",G[218]
Eric Orner,b. ?[5],American,Cartoonist,G[219]
Maite Oronoz Rodríguez,b. 1976,Puerto Rican,1st openly gay chief justice in the history of Puerto Rico and the U.S.,L[220]
Matthieu Orphelin,b. 1972,French,Politician,G[221]
Orry-Kelly,1897–1964,American,Costume designer,G[222]
Brian Orser,b. 1961,Canadian,Figure skater,G[223]
Kenny Ortega,b. 1950,American,"Producer, director, choreographer",G[224]
Joe Orton,1933–1967,English,Playwright,G[225]
Sharon Osbourne,b. 1952,English,"TV personality, music manager, businesswoman, promoter",B[226]
Cathal Ó Searcaigh,b. 1956,Irish,Poet,G[227]
Blake Oshiro,b. 1970,American,Politician,G[228]
Ido Ostrowsky,b. 1979,American,Film producer,G[229]
Kanako Otsuji,b. 1974,Japanese,Japan's first openly lesbian politician,L[230]
Ulrike Ottinger,b. 1942,German,"Filmmaker, photographer",L[231]
Yotam Ottolenghi,b. 1968,Israeli-British,"Chef, restaurant owner, food writer",G[232]
Cindy Ouellet,b. 1988,Canadian,Wheelchair basketball player,L[233]
Sarah Outen,b. 1985,English,"Athlete, adventurer, motivational speaker",L[234]
Alan Oversby,1933–1996,English,Body modification pioneer,G[235]
Rayvon Owen,b. 1991,American,Singer,G[236]
Sean Ethan Owen,1981–2004,American,Murder victim,G[237]
Wilfred Owen,1893–1918,English,Poet and soldier,G[238]
Nigel Owens,b. 1971,Welsh,"International rugby union referee, TV personality",G[239]
Rick Owens,b. 1962,American,Fashion designer,G[240]
Jeanette Mott Oxford,b. 1954,American,Missouri's first openly lesbian state legislator,L[241]
Jayne Ozanne,b. ?[5],Guernsey-British,Anglican LGBT activist,L[242]
François Ozon,b. 1967,French,"Film director, screenwriter",G[243]
Ferzan Özpetek,b. 1959,Turkish-Italian,Filmmaker,G[244]
Douglas P.,b. 1956,English,Musician (Death in June),G[7]
Svante Pääbo,b. 1955,Swedish,"Biologist, paleogeneticist",B[8]
Olavi Paavolainen,1903–1964,Finnish,Writer,G[9]
Lee Pace,b. 1979,American,Actor,G[10]
Matt Pacifici,b. 1993,American,Soccer player,G[11]
Brian Paddick,b. 1958,English,"Police officer, politician",G[12]
Hugh Paddick,1915–2000,English,Actor,G[13]
Rustom Padilla,b. 1965,Filipino,Actor,G[14]
Steve Padilla,b. 1967,American,Politician,G[15]
Chansey Paech,b. 1987,Australian,"Politician, first openly gay Aboriginal MP and speaker in Australia",G[16][17]
Robert Páez,b. 1994,Venezuelan,Diver,G[18]
Ellen Page,b. 1987,Canadian,Actor,L[19]
Ken Page,b. 1954,American,Actor,G[20]
Tommy Page,1970–2017,American,Pop singer-songwriter,G[21]
Camille Paglia,b. 1947,American,"Teacher, social critic",L[22]
Pai Hsien-yung,b. 1937,Taiwanese,Writer,G[23]
Paige,b. 1992,English,Wrestler,B[24]
Peter Paige,b. 1969,American,"Actor, director",G[25]
David Paisley,b. 1979,Scottish,Actor,G[26]
Rick Palacio,b. 1974,American,Politician,G[27]
Monica Palacios,b. ?[5],American,Playwright,L[28]
Chuck Palahniuk,b. 1962,American,Writer,G[29]
Anita Pallenberg,b. 1944,German,"Model, actor and fashion designer",B[30]
Owen Pallett,b. 1981,Canadian,Musician,G[31]
Marcia Pally,b. 1951,American,"Professor, author, co-founder and former acting chair of GLAAD",L[32]
Ron Palillo,1949–2012,American,"Actor, teacher",G[33]
Dave Pallone,b. 1951,American,Major League umpire,G[34]
Pierre Palmade,b. 1968,French,"Actor, comedian",G[35]
Alisa Palmer,b. ?[5],Canadian,"Theatre director, playwright",L[36]
Amanda Palmer,b. 1976,American,"Singer, musician (The Dresden Dolls)",B[37]
Tom G. Palmer,b. 1956,American,Writer,G[38]
Zoie Palmer,b. 1977,English-Canadian,Actor,L[39]
Pammenes of Thebes,?,Theban,General,G[40]
Sam Pancake,b. ?[5],American,Actor,G[41]
Maulik Pancholy,b. 1974,American,Actor,G[42]
Šárka Pančochová,b. 1990,Czech,Snowboarder,L[43]
Aleksei Panin,b. 1977,Russian,Actor,B[44]
Marco Pannella,1930–2016,Italian,"Politician, civil rights activist",B[45]
Chuck Panozzo,b. 1948,American,Musician,G[46]
Sunil Babu Pant,b. 1972,Nepalese,Politician,G[47]
Antonia Pantoja,1922–2002,American,"Educator, social worker",L[48]
Morris Panych,b. 1952,Canadian,Playwright,G[49]
Panzi,b. 1954,American,"Businessperson, LGBT rights activist",G[50]
Dimitris Papaioannou,b. 1964,Greek,"Theatre director, choreographer, visual artist",G[51]
Chris Pappas,b. 1980,American,Politician,G[52]
Anna Paquin,b. 1982,New Zealand,Actor,B[53]
Sergei Parajanov,1924–1990,Armenian,Director,B[54]
Yuvraaj Parashar,b. 1979,Indian,Actor,G[55]
Janet Paraskeva,b. 1946,English,Civil servant,L[12]
Arleen Paré,b. 1946,Canadian,Writer,L[56]
Julieta Paredes,b. 1967,Bolivian,"Poet, singer-songwriter, writer",L[57]
Bob Paris,b. 1959,American,Bodybuilder,G[58]
Annise Parker,b. 1956,American,Politician,L[59]
Craig Parker,b. 1970,New Zealand,Actor,G[60]
Michelle Parkerson,b. ?[5],American,"Filmmaker, academic",L[61]
Paul Bonifacio Parkinson,b. 1991,Italian-Canadian,Figure skater,G[62]
Alex Parks,b. 1984,English,"Musician, songwriter",L[63]
David Parks,b. 1943,American,Politician,G[64]
Pratibha Parmar,b. ?[5],British,Filmmaker,L[65]
Sophia Yakovlevna Parnok,1885–1933,Russian,Poet,L[66]
Gina Parody,b. 1973,Colombian,"Lawyer, politician; 1st lesbian to serve as the Education Minister of Columbia",L[67]
Lily Parr,1905–1978,English,Footballer,L[68]
Matthew Parris,b. 1949,English,"Journalist, former Member of Parliament",G[12]
Man Parrish,b. 1958,American,"Singer-songwriter, musician, record producer",G[69]
Evalyn Parry,b. ?[5],Canadian,"Musician, actor, playwright",L[70]
Arsham Parsi,b. 1980,Iranian,LGBT rights activist,G[71]
Anja Pärson,b. 1981,Swedish,Alpine skier,L[72]
Jim Parsons,b. 1973,American,Actor,G[73]
Harry Partch,1901–1974,American,"Composer, instrument builder",G[74]
John Partridge,b. 1971,English,Actor,G[75]
Nick Partridge,b. ?[5],English,"Businessperson, AIDS activist",G[12]
Georgi Partsalev,1925–1989,Bulgarian,Actor,G[76]
Thomas Pasatieri,b. 1945,American,Composer,G[77]
Pier Paolo Pasolini,1922–1975,Italian,"Writer, filmmaker",G[78]
Stacie Passon,b. ?[5],American,"Film director, screenwriter",L[79]
Walter Pater,1839–1894,English,"Writer, literary critic",G[80]
Tam Paton,b. 1937,Scottish,Businessperson,G[81]
Paul Patrick,b. 1950,English,"Teacher, LGBT rights activist",G[82]
Robert Patrick,b. 1937,American,Playwright,G[83]
Devdutt Pattanaik,b. 1970,Indian,"Writer, mythographer",G[84]
Pat Patterson,b. 1941,Canadian,Wrestler,G[85]
Rahsaan Patterson,b. 1974,American,"Actor, singer",G[86]
Romaine Patterson,b. 1977,American,"Radio personality, LGBT rights activist",L[87]
Derek Pattinson,1930–2006,English,"Civil servant, clergy",G[88]
Cindy Patton,b. 1956,American,"Historian, sociologist",L[89]
Mark Patton,b. 1964,American,Actor,G[90]
Caroline Paul,b. 1963,American,Writer,L[91]
Paul Oscar,b. 1970,Icelandic,"Singer-songwriter, disc jockey",G[92]
Steve Paul,1941–2012,American,"Talent manager, nightclub owner",G[93]
John Paulk,b. 1963,American,"Author, chef, former conversion therapy advocate",G[94]
Sarah Paulson,b. 1974,American,Actor,L[95]
Maartje Paumen,b. 1985,Dutch,Field hockey player,L[96]
Pausanias of Orestis,400–336 BC,Greek,Bodyguard,G[97]
Graham Payn,1918–2005,English,"Actor, partner of Noël Coward",G[98]
Waylon Payne,b. 1972,American,Musician,G[99]
Heather Peace,b. 1976,English,"Actor, musician",L[100]
